wayid,num_samples,num_hours_avail
363388372,24,12
259340070,24,9
693599404,24,9
129884908,24,7
671414388,24,9
4727389,24,7
658244120,24,9
658208365,23,14
639979614,23,9
48161467,23,10
658169282,23,8
268840027,23,10
377486991,23,10
41528752,23,15
671264352,23,14
671798382,23,13
98176580,22,7
671411585,22,13
96785458,22,8
658289094,22,8
449509402,22,9
432092682,22,8
678326362,22,8
678635208,22,13
532655556,22,10
173959647,21,11
131908899,21,13
675934038,21,10
95932157,21,13
42975023,21,11
105268553,21,9
48067268,21,12
25064453,21,13
670014141,21,10
55261032,21,10
25298852,21,12
680469039,21,12
97810178,21,9
679473677,21,12
673117935,21,12
25786499,20,11
167236737,20,10
87645075,20,11
25889018,20,13
26622325,20,6
683323278,20,11
679627965,20,11
26539634,20,13
26539784,20,10
658745235,20,14
438308302,20,10
658745229,20,14
182627073,20,8
4821491,20,11
658559806,20,10
680328366,20,9
259340063,19,13
48494409,19,6
4821519,19,9
658208363,19,14
667670891,19,13
312369036,19,8
679622839,19,8
259340066,19,10
97829288,19,14
363390239,19,8
484674447,19,10
97810289,19,8
71071481,19,8
153995746,19,10
87651579,18,8
76771105,18,9
347091663,18,7
419073401,18,4
46781886,18,9
668882375,18,9
87653848,18,9
184369601,18,11
668689773,18,10
97677246,18,9
163638353,18,10
174310512,18,11
658559805,17,11
26472629,17,10
676203797,17,4
40627393,17,3
627562421,17,8
679966220,17,4
289985452,17,9
671232621,17,9
61901587,17,6
679166405,17,9
26468748,17,6
95791242,16,10
515200214,16,8
26702360,16,8
672121529,16,11
25064477,16,8
345210091,16,10
198232546,16,8
238808780,16,6
173985913,16,8
26430737,16,8
240450983,16,9
680268725,16,9
686577897,16,10
671940228,16,11
94703379,16,11
678354755,16,11
287710516,15,10
670006938,15,10
25849862,15,9
97989432,15,6
679966217,15,8
40385572,15,4
25342254,15,10
126616031,15,9
25814961,15,8
26791279,15,12
76779072,15,9
363390238,15,5
668608096,15,6
682937531,15,9
72672613,15,7
345264919,15,9
675934039,15,10
4723972,15,9
247137154,15,7
435095031,15,5
100130921,15,8
673599259,15,8
680335914,15,10
120729877,14,9
449661158,14,10
25592116,14,9
385444269,14,11
