wayid,num_samples
367956923,5510
675672887,5482
187196989,5472
440754741,5467
512997821,5460
679365602,5442
183678863,5438
658318940,5434
679998459,5423
4724007,5402
567085653,5397
24027519,5395
675259991,5395
640082448,5391
658709099,5384
107279612,5367
312906753,5358
658219757,5353
4752331,5353
671415236,5340
659951027,5283
25773785,5276
24008189,5259
97988623,5245
77344709,5206
512997810,5172
512985274,5163
231493250,5145
678331785,5122
512985276,5098
658264989,5097
573812139,5087
48489687,5070
231493258,5064
233060431,5057
409879436,5024
672119327,5001
658409688,5000
361360705,4988
678333050,4981
640082450,4978
229412246,4952
312490368,4928
512997807,4865
4724019,4864
301694733,4846
241541371,4832
679198777,4823
678051604,4820
538598324,4818
87647458,4815
25036530,4808
584887777,4799
174310467,4797
563207321,4782
367956920,4753
679176863,4752
231498626,4749
174310498,4747
677048817,4743
671212216,4734
679998458,4730
51543080,4726
231498629,4713
4761157,4713
40131548,4710
151062516,4709
172265321,4698
4761154,4697
43270172,4681
369080490,4669
679187469,4664
640083535,4659
105097948,4659
87647454,4627
87651851,4618
680253313,4618
440744018,4593
553589492,4583
101196391,4549
679379864,4449
362403931,4441
679198783,4399
231026426,4384
187197446,4380
337517586,4370
187197453,4368
95635640,4333
77344708,4328
26622329,4282
24027268,4266
187198058,4265
44629777,4262
369117818,4261
23754626,4223
101196432,4221
671425430,4218
312490043,4208
24025189,4190
48205023,4164
321619725,4157
512997809,4129
103268500,4124
25036516,4115
292444195,4100
668253453,4099
512985267,4052
26468862,4046
363390670,4037
4741894,3998
679372016,3985
60740535,3970
456322243,3948
658264988,3946
118163729,3937
679150083,3929
39885603,3915
162817955,3881
162817967,3849
680243062,3845
25538839,3826
231932074,3819
76580449,3807
643844408,3807
679971283,3753
162818143,3753
655547442,3740
154232780,3736
679187470,3734
568922801,3710
231493246,3697
567085656,3694
532657334,3683
187197447,3682
658223835,3678
26472558,3678
658223837,3677
56052356,3646
89823435,3638
674860433,3635
658559811,3588
658559812,3585
515200244,3585
572078987,3564
161929476,3564
680828589,3553
363390237,3549
515200245,3543
679215455,3534
285168912,3522
288107279,3503
25739334,3477
668253454,3476
286033103,3458
683045287,3440
26472593,3439
472115249,3430
392186117,3397
668882374,3359
310029006,3340
187197443,3338
658409701,3323
162818140,3312
231933311,3310
681099272,3297
568942542,3296
24716716,3294
93704558,3293
187197450,3272
369132150,3270
97684955,3265
610048829,3255
97677247,3248
683045286,3219
387485959,3219
25036571,3209
56052355,3191
231511120,3185
679998457,3156
137340064,3146
392186116,3120
436796430,3117
97677241,3102
678112000,3102
679390762,3094
572087310,3080
363390235,3075
560545474,3048
369132151,3048
97677242,3035
26744436,3027
673334376,3017
313794098,3009
680371923,3000
233060278,2962
679376933,2948
27014344,2938
97694671,2908
97676904,2908
362403930,2891
440754740,2873
48489679,2837
678119023,2828
655547439,2827
26702867,2823
231355409,2821
231493764,2807
658711955,2798
231493756,2794
97817014,2793
184369629,2790
436796431,2774
26539675,2774
231498618,2765
680914487,2762
4821661,2756
668253451,2755
231493758,2714
239559119,2709
560544926,2672
247463069,2652
24027546,2635
670446927,2617
640082452,2599
658711951,2599
241541372,2579
309003285,2565
572078983,2565
628277024,2559
436796436,2558
239190775,2542
658709098,2536
659951028,2525
640083536,2509
244985953,2506
679229880,2497
25064164,2480
112470688,2473
247463073,2469
331282323,2456
659024535,2454
40131531,2439
678559796,2426
120730961,2418
26744420,2412
678534631,2388
121271216,2388
436796433,2385
231508269,2369
512985268,2361
173959649,2354
557002799,2353
187196992,2352
97677237,2351
679627964,2336
86401296,2327
472115186,2326
97988621,2325
239432194,2313
241541373,2305
452864611,2302
269783352,2281
321619730,2269
678661659,2267
678572286,2267
668297103,2255
231493762,2255
231510746,2242
658559814,2241
241541374,2233
436796432,2227
668253452,2207
667451281,2201
363390233,2175
103615660,2172
641653526,2168
97684954,2166
658559813,2164
161956789,2149
288107280,2142
43196976,2142
394592468,2133
233060276,2114
313035435,2098
112470639,2097
641653528,2081
680947236,2065
97684957,2064
556999024,2059
94703381,2047
658421884,2043
233060279,2035
678559797,2032
565319249,2025
4724023,2019
43196975,1987
120729889,1986
25761267,1970
640005919,1933
231498619,1927
671414874,1917
173959640,1863
472115185,1837
231511233,1805
472115188,1802
472115189,1797
658223885,1785
26787943,1780
679998461,1774
679998462,1759
363390234,1738
674908957,1738
231508271,1731
667463175,1718
187197455,1718
173959638,1716
161929474,1657
386756274,1653
94703382,1629
198232976,1607
233060430,1581
43949400,1498
440744019,1493
671409416,1480
679734462,1460
26430734,1397
98041007,1374
655547444,1372
187197452,1345
198232922,1337
236016594,1333
184369961,1316
673334374,1309
231493757,1305
679163684,1301
680070299,1280
25705034,1278
640082449,1266
472115184,1254
659024533,1247
680909766,1234
553300443,1217
87650829,1211
96878966,1204
97816984,1177
231493760,1157
671167378,1153
162817964,1148
162817959,1135
679360506,1126
668253450,1102
580233738,1068
668645827,1051
332245951,1042
187197441,1038
26583646,1017
36344839,989
312490044,987
472115183,967
538598325,938
241541370,935
287710525,922
44629862,918
241532779,874
668253449,840
557709554,838
247463074,832
97816987,791
472115182,774
231498631,658
97816392,616
184369872,569
